Target,Baseline_MAE,Baseline_RMSE,Baseline_R2,Ridge_MAE,Ridge_RMSE,Ridge_R2,RF_MAE,RF_RMSE,RF_R2,XGBoost_MAE,XGBoost_RMSE,XGBoost_R2,Best_ML_Model
AQI_24h,20.22381498470948,31.22053656921554,0.34641875403838174,17.92239683685371,24.343289819323818,0.6026461771205065,17.909280053555328,25.375876172362243,0.568221563662092,17.123224004692986,23.75758082208467,0.6215371223615075,XGBoost
AQI_48h,24.844227828746178,37.055048829152646,0.07961180842819504,23.32265576367991,31.634933693615828,0.32917364684361194,26.84682452216615,35.19545268189367,0.16967260046911148,25.209502037876607,31.96476712860678,0.31511232953412516,Ridge Regression
AQI_72h,26.495603975535168,37.885594015997086,0.038636653679203437,24.481558638007346,32.8654608415628,0.27653285941103944,28.208405630269468,35.34872891414317,0.16307418959493059,27.166585707883222,34.57636427998054,0.1992480444179653,Ridge Regression
